product_id,user_id,id,rating
4,135,1,3
5,135,2,5
30,135,3,3
4,51455,4,3
5,51455,5,3
30,51455,6,4
32,51455,7,5
59,51455,8,4
62,51455,9,4
64,51455,10,3
67,51455,11,5
74,51455,12,4
81,51455,13,3
84,51455,14,3
87,51455,15,5
97,51455,16,3
111,51455,17,4
120,51455,18,5
126,51455,19,3
128,51455,20,2
137,51455,21,3
144,51455,22,4
146,51455,23,5
154,51455,24,3
166,51455,25,2
180,51455,26,4
182,51455,27,5
188,51455,28,5
196,51455,29,4
219,51455,30,3
229,51455,31,2
241,51455,32,3
249,51455,33,4
252,51455,34,5
255,51455,35,2
264,51455,36,3
276,51455,37,4
294,51455,38,3
295,51455,39,2
298,51455,40,3
4,96195,41,1
5,96195,42,2
30,96195,43,2
32,96195,44,4
59,96195,45,5
62,96195,46,4
64,96195,47,2
67,96195,48,2
74,96195,49,3
81,96195,50,4
84,96195,51,5
87,96195,52,3
97,96195,53,2
111,96195,54,3
120,96195,55,4
126,96195,56,4
128,96195,57,5
137,96195,58,5
144,96195,59,1
146,96195,60,1
154,96195,61,3
166,96195,62,2
180,96195,63,2
188,96195,64,3
182,96195,65,2
196,96195,66,4
219,96195,67,5
229,96195,68,2
241,96195,69,2
249,96195,70,4
252,96195,71,2
255,96195,72,5
264,96195,73,4
276,96195,74,2
294,96195,75,4
295,96195,76,2
298,96195,77,3
4,44849,78,5
5,44849,79,2
5,76299,80,2
30,76299,81,3
32,44849,82,5
4,34353,83,4
59,44849,84,3
62,44849,85,1
5,34353,86,2
64,44849,87,2
67,44849,88,2
74,44849,89,2
4,76299,90,3
81,44849,91,5
84,44849,92,5
32,76299,93,4
87,44849,94,4
97,44849,95,5
32,34353,96,5
111,44849,97,4
30,34353,98,3
5,19858,99,4
59,34353,100,4
62,34353,101,5
120,44849,102,3
64,34353,103,4
30,19858,104,5
67,34353,105,4
126,44849,106,5
74,34353,107,4
128,44849,108,5
81,34353,109,5
137,44849,110,5
144,44849,111,5
146,44849,112,1
154,44849,113,5
84,34353,114,4
166,44849,115,5
87,34353,116,4
97,34353,117,4
111,34353,118,4
120,34353,119,3
126,34353,120,4
128,34353,121,4
137,34353,122,2
188,44849,123,5
59,76299,124,4
144,34353,125,2
196,44849,126,5
62,76299,127,2
219,44849,128,3
229,44849,129,2
241,44849,130,3
67,76299,131,3
249,44849,132,4
252,44849,133,5
255,44849,134,5
146,34353,135,3
74,76299,136,4
264,44849,137,3
81,76299,138,1
276,44849,139,1
154,34353,140,2
84,76299,141,4
166,34353,142,4
294,44849,143,3
180,34353,144,2
87,76299,145,3
295,44849,146,1
298,44849,147,5
59,19858,148,2
111,76299,149,2
182,34353,150,4
188,34353,151,4
196,34353,152,4
120,76299,153,4
32,19858,154,5
180,44849,155,3
219,34353,156,1
229,34353,157,5
241,34353,158,4
62,19858,159,1
30,44849,160,3
64,19858,161,1
67,19858,162,1
249,34353,163,3
252,34353,164,4
255,34353,165,3
264,34353,166,2
276,34353,167,3
74,19858,168,2
294,34353,169,4
182,44849,170,5
295,34353,171,1
126,76299,172,2
81,19858,173,1
298,34353,174,1
128,76299,175,4
137,76299,176,5
144,76299,177,5
146,76299,178,1
4,26911,179,5
5,26911,180,1
84,19858,181,2
154,76299,182,1
87,19858,183,1
30,26911,184,1
97,19858,185,1
166,76299,186,5
180,76299,187,3
182,76299,188,4
111,19858,189,2
188,76299,190,2
120,19858,191,2
196,76299,192,3
219,76299,193,3
32,26911,194,3
229,76299,195,4
59,26911,196,1
62,26911,197,1
241,76299,198,2
64,26911,199,1
126,19858,200,5
67,26911,201,3
74,26911,202,3
128,19858,203,3
249,76299,204,1
252,76299,205,4
137,19858,206,5
81,26911,207,1
264,76299,208,1
144,19858,209,5
276,76299,210,2
146,19858,211,1
154,19858,212,3
294,76299,213,2
84,26911,214,4
295,76299,215,1
166,19858,216,5
87,26911,217,3
180,19858,218,1
97,26911,219,4
182,19858,220,1
298,76299,221,3
111,26911,222,1
188,19858,223,3
120,26911,224,1
255,76299,225,5
126,26911,226,5
196,19858,227,4
219,19858,228,1
128,26911,229,4
229,19858,230,2
137,26911,231,1
144,26911,232,5
146,26911,233,1
241,19858,234,2
154,26911,235,3
64,76299,236,1
97,76299,237,2
249,19858,238,1
252,19858,239,1
166,26911,240,5
180,26911,241,1
182,26911,242,2
188,26911,243,1
196,26911,244,4
219,26911,245,1
229,26911,246,1
241,26911,247,1
249,26911,248,1
264,19858,249,2
252,26911,250,2
255,26911,251,1
276,19858,252,2
264,26911,253,1
294,19858,254,1
276,26911,255,1
294,26911,256,4
295,26911,257,1
295,19858,258,1
