user_id,condition_id,n_interactions,bias_target,bias_observed,error,signed_error
11002,8,3,4.1,4.2,0.10000000000000053,0.10000000000000053
12408,6,3,3.5,3.6,0.10000000000000009,0.10000000000000009
13264,2,1,3.9,4.0,0.10000000000000009,0.10000000000000009
13384,7,3,4.2,4.2,0.0,0.0
14294,3,1,3.2,3.4,0.19999999999999973,0.19999999999999973
14521,7,3,4.0,4.0,0.0,0.0
16933,4,1,4.5,4.4,0.09999999999999964,-0.09999999999999964
18291,5,3,2.6,2.6,0.0,0.0
18825,3,1,4.0,3.8,0.20000000000000018,-0.20000000000000018
20309,1,1,3.0,3.0,0.0,0.0
20895,4,1,3.9,4.0,0.10000000000000009,0.10000000000000009
21960,2,1,3.7,3.8,0.09999999999999964,0.09999999999999964
22785,2,1,3.1,2.6,0.5,-0.5
22913,6,3,2.5,2.4,0.10000000000000009,-0.10000000000000009
23228,4,1,4.7,4.8,0.09999999999999964,0.09999999999999964
24038,5,3,3.0,3.0,0.0,0.0
24894,3,1,4.4,4.4,0.0,0.0
25170,3,1,3.2,3.4,0.19999999999999973,0.19999999999999973
25978,4,1,4.3,4.2,0.09999999999999964,-0.09999999999999964
26056,3,1,4.4,4.4,0.0,0.0
27025,8,3,4.5,4.6,0.09999999999999964,0.09999999999999964
27651,8,3,3.7,3.7999999999999994,0.0999999999999992,0.0999999999999992
28635,4,1,4.7,4.8,0.09999999999999964,0.09999999999999964
29802,3,1,3.6,3.8,0.19999999999999973,0.19999999999999973
30076,5,3,2.6,2.6,0.0,0.0
30526,8,3,2.7,2.7999999999999994,0.0999999999999992,0.0999999999999992
30965,4,1,4.9,5.0,0.09999999999999964,0.09999999999999964
31784,2,1,2.5,2.4,0.10000000000000009,-0.10000000000000009
33121,4,1,4.5,4.4,0.09999999999999964,-0.09999999999999964
33833,7,3,4.0,3.7999999999999994,0.20000000000000062,-0.20000000000000062
34306,5,3,2.4,2.4,0.0,0.0
34353,5,3,2.8,2.7999999999999994,4.440892098500626e-16,-4.440892098500626e-16
34694,8,3,4.7,4.8,0.09999999999999964,0.09999999999999964
35753,6,3,3.7,3.7999999999999994,0.0999999999999992,0.0999999999999992
35857,6,3,2.7,2.7999999999999994,0.0999999999999992,0.0999999999999992
36596,1,1,2.0,2.0,0.0,0.0
36933,6,3,3.7,3.7999999999999994,0.0999999999999992,0.0999999999999992
37057,3,1,3.8,3.6,0.19999999999999973,-0.19999999999999973
37494,7,3,4.4,5.0,0.5999999999999996,0.5999999999999996
37597,7,3,3.8,3.6,0.19999999999999973,-0.19999999999999973
38983,2,1,3.7,3.6,0.10000000000000009,-0.10000000000000009
40145,3,1,4.4,4.4,0.0,0.0
43352,8,3,3.9,4.4,0.5000000000000004,0.5000000000000004
46010,1,1,3.4,3.4,0.0,0.0
47198,1,1,3.0,3.0,0.0,0.0
47471,7,3,4.0,4.0,0.0,0.0
47476,2,1,3.9,3.4,0.5,-0.5
47589,6,3,3.3,3.4,0.10000000000000009,0.10000000000000009
49041,7,3,4.0,4.0,0.0,0.0
49373,5,3,3.2,3.2000000000000006,4.440892098500626e-16,4.440892098500626e-16
50628,1,1,3.2,3.2,0.0,0.0
50808,2,1,3.3,3.2,0.09999999999999964,-0.09999999999999964
50847,1,1,2.4,2.4,0.0,0.0
51455,5,3,3.0,3.0,0.0,0.0
52608,2,1,3.7,4.0,0.2999999999999998,0.2999999999999998
53164,1,1,3.2,3.2,0.0,0.0
55077,4,1,4.7,4.8,0.09999999999999964,0.09999999999999964
55861,1,1,3.4,3.4,0.0,0.0
56867,6,3,3.9,4.0,0.10000000000000009,0.10000000000000009
57056,5,3,2.6,2.6,0.0,0.0
